SEBI REPORT For Trade date 17-Nov-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,344948.38,
2,Fresh Exposure taken during the day,10327.16,
3,Exposure liquidated during the day,9627.54,
4,Net scripwise outstanding at the end of the day,345648.00,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,16234,63.76
Reliance Industries Ltd,INE002A01018,89529,1272.98
SJVN LIMITED,INE002L01015,579463,570.10
Mahanagar Gas Limited,INE002S01010,19837,265.94
"Siemens Ltd.,",INE003A01024,13890,465.05
Protean eGov Technologies Limited,INE004A01022,63394,739.74
Avantel Limited,INE005B01027,320480,569.27
ASTRAL LIMITED,INE006I01046,8499,130.40
CRISIL Ltd.,INE007A01025,2046,102.84
Geojit Financial Services Limited,INE007B01023,43150,47.05
Fedbank Financial Services Limited,INE007N01010,42860,61.54
IDBI LTD,INE008A01015,899480,856.68
Infosys Ltd,INE009A01021,112285,1716.85
Bikaji Foods International Limited,INE00E101023,13112,102.06
Hariom Pipe Industries Limited,INE00EV01017,12479,57.84
Prudent Corporate Advisory Services Limited,INE00F201020,1595,41.78
ACUTAAS CHEMICALS LIMITED,INE00FF01025,4273,67.84
SWIGGY LIMITED,INE00H001014,229924,983.50
STOVE KRAFT LIMITED,INE00IN01015,7854,51.30
Craftsman Automation Limited,INE00LO01017,519,35.01
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,253295,716.58
Interarch Building Solutions Limited,INE00M901018,304,7.43
DALMIA BHARAT LIMITED,INE00R701025,7916,171.93
Highway Infrastructure Limited,INE00RL01028,1037,0.83
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36807,51.82
Manorama Industries Limited,INE00VM01036,8124,116.23
AFFLE 3I LIMITED,INE00WC01027,11194,212.63
Flair Writing Industries Limited,INE00Y201027,3698,12.12
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1437,9.32
Entero Healthcare Solutions Limited,INE010601016,898,10.39
PRISM JOHNSON LIMITED.,INE010A01011,12685,20.42
Zydus Lifesciences Limited,INE010B01027,28877,287.50
Tejas Networks Limited,INE010J01012,127998,883.86
L&T Technology Services Limited,INE010V01017,4903,212.01
BALU FORGE INDUSTRIES LIMITED,INE011E01029,4249,27.00
Tega Industries Limited,INE011K01018,6113,124.07
ACC,INE012A01025,101276,1842.74
Onesource Specialty Pharma Limited,INE013P01021,1432,28.05
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,338,3.09
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,41449,222.47
"Great Eastern Shipping Co. Ltd.,",INE017A01032,42795,453.33
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21087,780.84
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10163,91.58
JSW SL,INE019A01038,18508,216.99
Himadri Speciality Chemical Ltd.,INE019C01026,85125,416.95
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,4610,27.02
Vishal Mega Mart Limited,INE01EA01019,412691,595.95
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,7232,23.18
Sky Gold And Diamonds Limited,INE01IU01018,18186,63.72
eMudhra Limited,INE01QM01018,10217,70.58
Vikran Engineering Limited,INE01R501028,60558,64.38
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,602315,2359.01
Asian Paints Ltd.,INE021A01026,11968,329.62
Dodla Dairy Limited,INE021O01019,1650,21.54
ASIAN GRANITO INDIA LIMITED,INE022I01019,66,0.04
Indian Energy Exchange Limited,INE022Q01020,179792,289.30
Aeroflex Industries Limited,INE024001021,79620,152.00
GRAVITA INDIA LIMITED,INE024L01027,21470,385.17
Goldiam International Ltd.,INE025B01025,52520,215.26
Artemis Medicare Services Limited,INE025R01021,2447,7.44
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,106029,216.14
RASHTRIYA CH,INE027A01015,265107,443.52
Max Healthcare Institute Limited,INE027H01010,25597,309.79
Bank Of Baroda,INE028A01039,116094,316.60
BHARAT PETRO,INE029A01011,57290,204.09
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2726,18.44
Axita Cotton Limited,INE02EZ01022,3071,0.31
Raymond Lifestyle Limited,INE02ID01020,10953,136.15
Azad Engineering Limited,INE02IJ01035,25007,432.23
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,9212,25.50
Borosil Limited,INE02PY01013,6967,25.11
Brainbees Solutions Limited,INE02RE01045,42319,160.88
WONDER ELECTRICALS LIMITED,INE02WG01024,16763,27.23
Electronics Mart India Limited,INE02YR01019,53118,83.54
"Hindustan Unilever Ltd.,",INE030A01027,16287,411.28
Housing &Urban Development Corporation Ltd.,INE031A01017,309353,754.14
Ajanta Pharma Ltd.,INE031B01049,2466,63.93
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1008928,1325.95
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,17339,58.12
Arvind SmartSpaces Limited,INE034S01021,4106,28.91
SOTL,INE035D01020,1019,4.77
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,31593,36.11
KARUR VYSYA,INE036D01028,13449,29.13
Concord Enviro Systems Limited,INE037Z01029,1162,6.22
Hindalco Industries Ltd.,INE038A01020,40959,322.21
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,507701,308.03
"Jamna Auto Industries Ltd.,",INE039C01032,116593,120.57
JASH ENGINEERING LIMITED,INE039O01029,8296,42.04
Max Estates Limited,INE03EI01018,2607,12.37
Go Digit General Insurance Limited,INE03JT01014,7989,28.82
Brigade Hotel Ventures Limited,INE03NU01014,4912,4.20
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2063,19.87
Cohance Lifesciences Limited,INE03QK01018,13758,106.50
Chemcon Speciality Chemicals Limited,INE03YM01018,189,0.48
HDFC Bank Ltd.,INE040A01034,109855,1097.34
Mayur Uniquoters ltd.,INE040D01038,296,1.73
SUZLON ENERGY LTD.,INE040H01021,6989122,4277.58
"Dhampur Sugar Mills Ltd.,",INE041A01016,48615,71.61
Escorts Kubota Limited,INE042A01014,5266,194.76
Vijaya Diagnostic Centre Limited,INE043W01024,2699,27.55
Sun Pharmaceutical Industries Ltd.,INE044A01036,15831,258.83
Paras Defence and Space Technologies Limited,INE045601023,18305,138.44
ADOR WELDING,INE045A01017,25443,274.85
Nelco Ltd,INE045B01015,11992,106.03
Fineotex Chemical Limited,INE045J01034,157905,49.25
Reliance Industrial Infrastructure,INE046A01015,7171,67.25
Muthoot Microfin Limited,INE046W01019,10540,16.23
GRASIM INDUS,INE047A01021,7381,204.81
JAGSONPAL PH,INE048B01035,9880,23.61
Navin Fluorent International Ltd,INE048G01026,1154,61.19
"Himatsingka Seide Ltd.,",INE049A01027,100293,136.46
Wockhardt Ltd,INE049B01025,71197,1016.34
SBC EXPORTS LIMITED,INE04AK01028,417041,102.69
KPIT Technologies Ltd,INE04I401011,25169,328.24
ETHOS LIMITED,INE04TZ01018,349,9.24
Seshaasai Technologies Limited,INE04VU01023,920,3.09
Prakash Pipes Limited,INE050001010,6091,24.63
Elin Electronics Limited,INE050401020,3571,7.67
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,5612,107.61
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,6161,96.20
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,3262,9.59
Vakrangee Softwares Ltd.,INE051B01021,3950,0.53
Windsor Machines Limited,INE052A01021,1270,4.01
Camlin Fine Sciences Ltd,INE052I01032,6857,12.48
BEST AGROLIFE LIMITED,INE052T01013,1171,4.15
Indian Hotels Co. Ltd,INE053A01029,91753,687.02
Indian Railway Finance Corporation,INE053F01010,1517926,2096.10
