SEBI REPORT For Trade date 22-Dec-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,346058.90,
2,Fresh Exposure taken during the day,7641.36,
3,Exposure liquidated during the day,8298.13,
4,Net scripwise outstanding at the end of the day,345402.13,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,22701,90.28
Reliance Industries Ltd,INE002A01018,71222,1040.89
SJVN LIMITED,INE002L01015,595395,565.06
Mahanagar Gas Limited,INE002S01010,24258,314.21
"Siemens Ltd.,",INE003A01024,12019,405.42
Protean eGov Technologies Limited,INE004A01022,69053,777.05
Avantel Limited,INE005B01027,294179,513.79
ASTRAL LIMITED,INE006I01046,10489,158.29
CRISIL Ltd.,INE007A01025,2021,98.95
Geojit Financial Services Limited,INE007B01023,54569,55.72
Fedbank Financial Services Limited,INE007N01010,27234,38.94
IDBI LTD,INE008A01015,867584,829.86
Infosys Ltd,INE009A01021,56668,890.95
Bikaji Foods International Limited,INE00E101023,11374,89.32
Hariom Pipe Industries Limited,INE00EV01017,11534,50.78
Prudent Corporate Advisory Services Limited,INE00F201020,348,9.45
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5732,94.08
SWIGGY LIMITED,INE00H001014,149807,639.38
STOVE KRAFT LIMITED,INE00IN01015,6950,44.91
Craftsman Automation Limited,INE00LO01017,756,52.31
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,258019,700.54
Interarch Building Solutions Limited,INE00M901018,926,22.79
Studds Accessories Limited,INE00Q601028,504,2.70
DALMIA BHARAT LIMITED,INE00R701025,7609,164.65
Highway Infrastructure Limited,INE00RL01028,1136,0.88
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39765,54.16
Manorama Industries Limited,INE00VM01036,6538,95.88
AFFLE 3I LIMITED,INE00WC01027,11581,217.96
Flair Writing Industries Limited,INE00Y201027,2365,7.66
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1321,7.71
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,1040,11.73
PRISM JOHNSON LIMITED.,INE010A01011,14784,22.78
Zydus Lifesciences Limited,INE010B01027,27483,272.68
Tejas Networks Limited,INE010J01012,129935,856.67
L&T Technology Services Limited,INE010V01017,2998,134.92
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3050,19.38
Tega Industries Limited,INE011K01018,5519,111.73
ACC,INE012A01025,101440,1842.00
Onesource Specialty Pharma Limited,INE013P01021,2031,37.47
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,369,3.25
DABUR INDIA,INE016A01026,46154,245.55
CEINSYS TECH LIMITED,INE016Q01014,1500,12.13
"Great Eastern Shipping Co. Ltd.,",INE017A01032,24178,271.10
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,21344,810.54
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,11037,98.70
JSW SL,INE019A01038,26207,304.08
Himadri Speciality Chemical Ltd.,INE019C01026,75064,369.82
STANLEY LIFESTYLES LIMITED,INE01A001028,1063,3.20
Antony Waste Handling Cell Limited,INE01BK01022,3942,23.43
Vishal Mega Mart Limited,INE01EA01019,283430,403.53
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,9470,28.49
Sky Gold And Diamonds Limited,INE01IU01018,17071,59.58
eMudhra Limited,INE01QM01018,7475,50.24
Vikran Engineering Limited,INE01R501028,139165,142.36
Canara HSBC Life Insurance Company Limited,INE01TY01017,3711,4.83
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,531468,2051.08
Asian Paints Ltd.,INE021A01026,11964,335.55
Dodla Dairy Limited,INE021O01019,653,8.61
ASIAN GRANITO INDIA LIMITED,INE022I01019,11994,8.42
Indian Energy Exchange Limited,INE022Q01020,125493,199.95
Nalwa Sons Investment Ltd,INE023A01030,18,1.17
Aeroflex Industries Limited,INE024001021,71428,136.74
SHILCHAR TEC,INE024F01011,216,8.44
GRAVITA INDIA LIMITED,INE024L01027,12840,238.39
Goldiam International Ltd.,INE025B01025,53117,217.65
Artemis Medicare Services Limited,INE025R01021,2017,6.37
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,122496,244.64
RASHTRIYA CH,INE027A01015,256301,419.76
Max Healthcare Institute Limited,INE027H01010,25697,305.08
Bank Of Baroda,INE028A01039,167217,475.84
BHARAT PETRO,INE029A01011,54578,194.99
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2621,16.71
Raymond Lifestyle Limited,INE02ID01020,10581,128.49
Azad Engineering Limited,INE02IJ01035,19190,335.14
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,15028,41.51
Borosil Limited,INE02PY01013,6377,22.21
Brainbees Solutions Limited,INE02RE01045,44292,158.94
WONDER ELECTRICALS LIMITED,INE02WG01024,13937,23.48
Electronics Mart India Limited,INE02YR01019,66217,93.33
"Hindustan Unilever Ltd.,",INE030A01027,15358,378.22
Housing &Urban Development Corporation Ltd.,INE031A01017,409822,975.99
Ajanta Pharma Ltd.,INE031B01049,1099,28.69
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,1009766,1322.35
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,20210,67.94
Arvind SmartSpaces Limited,INE034S01021,4649,32.15
SOTL,INE035D01020,962,4.54
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,7819,9.19
KARUR VYSYA,INE036D01028,45189,108.95
Concord Enviro Systems Limited,INE037Z01029,1207,6.43
Hindalco Industries Ltd.,INE038A01020,26244,209.05
T.V.Today Network Limited,INE038F01029,116,0.30
IFCI LTD,INE039A01010,567275,333.60
"Jamna Auto Industries Ltd.,",INE039C01032,82831,91.34
JASH ENGINEERING LIMITED,INE039O01029,8407,42.47
Max Estates Limited,INE03EI01018,2671,12.63
Go Digit General Insurance Limited,INE03JT01014,7895,28.46
Brigade Hotel Ventures Limited,INE03NU01014,3048,2.62
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1776,16.92
Cohance Lifesciences Limited,INE03QK01018,12995,94.30
Chemcon Speciality Chemicals Limited,INE03YM01018,129,0.33
HDFC Bank Ltd.,INE040A01034,96380,970.99
Mayur Uniquoters ltd.,INE040D01038,277,1.62
SUZLON ENERGY LTD.,INE040H01021,6878837,4118.64
"Dhampur Sugar Mills Ltd.,",INE041A01016,45296,65.34
Escorts Kubota Limited,INE042A01014,4546,168.96
Vijaya Diagnostic Centre Limited,INE043W01024,1103,11.38
Sun Pharmaceutical Industries Ltd.,INE044A01036,15497,259.25
Paras Defence and Space Technologies Limited,INE045601023,28581,208.76
ADOR WELDING,INE045A01017,708,7.80
Nelco Ltd,INE045B01015,11599,100.60
Fineotex Chemical Limited,INE045J01034,127204,41.07
Reliance Industrial Infrastructure,INE046A01015,6273,58.49
Muthoot Microfin Limited,INE046W01019,4541,7.84
GRASIM INDUS,INE047A01021,3355,95.47
JAGSONPAL PH,INE048B01035,5273,12.76
Navin Fluorent International Ltd,INE048G01026,884,48.12
"Himatsingka Seide Ltd.,",INE049A01027,76319,106.64
Wockhardt Ltd,INE049B01025,75477,1083.84
Nahar Capital & Financial Services Ltd.,INE049I01012,2,0.01
SBC EXPORTS LIMITED,INE04AK01028,416050,102.55
KPIT Technologies Ltd,INE04I401011,22176,289.95
ETHOS LIMITED,INE04TZ01018,490,13.91
Seshaasai Technologies Limited,INE04VU01023,2036,6.33
Prakash Pipes Limited,INE050001010,4021,17.88
Elin Electronics Limited,INE050401020,2472,5.23
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3419,64.81
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,4520,68.88
Rane (Madras)  Ltd.,INE050H01012,2259,17.99
Vardhman Special Steels Ltd,INE050M01012,2062,6.15
Vakrangee Softwares Ltd.,INE051B01021,12950,1.24
Windsor Machines Limited,INE052A01021,2547,7.43
Camlin Fine Sciences Ltd,INE052I01032,6840,12.25
BEST AGROLIFE LIMITED,INE052T01013,433,1.63
Indian Hotels Co. Ltd,INE053A01029,77928,582.88
Indian Railway Finance Corporation,INE053F01010,1422485,1946.00
"V.I.P. Industries Ltd.,",INE054A01027,13286,58.62
Waterbase Limited,INE054C01015,30345,15.63
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,6929,149.87
Cyient DLM Limited,INE055S01018,28250,133.72
IVALUE INFOSOLUTIONS LIMITED,INE056801025,275,0.86
Refex Industries Limited,INE056I01025,15129,53.16
Sanofi India Ltd,INE058A01010,934,47.25
"Cipla Ltd.,",INE059A01026,16441,254.18
La Opala RG Ltd.,INE059D01020,5685,14.43
Hindware Home Innovation Limited,INE05AN01011,4563,14.79
Ratnaveer Precision Engineering Limited,INE05CZ01011,14381,23.47
Indogulf Cropsciences Limited,INE05J901018,525,0.60
Likhitha Infrastructure Limited,INE060901027,2358,6.91
Navneet Education Limited,INE060A01024,10369,14.92
FORTIS HEALTHCARE LIMITED,INE061F01013,25540,237.57
"State Bank Of India,",INE062A01020,75696,688.46
ALICON,INE062D01024,57,0.50
Pondy Oxides & Chemicals Limited,INE063E01053,3250,41.84
Equitas Small Finance Bank Limited,INE063P01018,235802,149.33
Trident Ltd.,INE064C01022,717503,218.18
AEROFLEX ENTERPRISES LIMITED,INE065D01027,6009,6.11
Indegene Limited,INE065X01017,9862,56.56
Eicher Motors Ltd.,INE066A01021,3074,211.30
Hindustan Aeronautics Limited,INE066F01020,95205,4476.28
Wonderla Holidays Limited,INE066O01014,11918,77.55
Inox Wind Limited,INE066P01011,495970,809.36
CG Power and Industrial Solutions Limited,INE067A01029,80528,578.77
CANTABIL RETAIL INDIA LIMITED,INE068L01024,394630,1014.33
